line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,18 in X 24 in Vinyl Banner w/ grommets in corners printed Single Sided in four color.,2.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,2 ft x 4 ft Vinyl Banner w/ grommets every 1 ft (including short side) printed single sided in four color.,9.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,2 ft x 5 ft Vinyl Banner w/ grommets every 1 ft (including short side) printed single sided in four color.,6.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,2 ft x 6 ft Vinyl Banner w/ grommets every 1 ft (including short side) printed single sided in four color.,4.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,3 ft x 6 ft Vinyl Banner w/ grommets every 1 ft (including short side) printed single sided in four color.,1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,2 ft x 10 ft Vinyl Banner printed single sided in four color.,3.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,6 ft x 4 ft Vinyl Banner w/ grommets every 1 ft (including short side) printed single sided in four color.,1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,10 ft x 2 ft Vinyl Banner w/ grommets every 1 ft (including short side) printed single sided in four color.,8.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,10 ft x 3 ft Vinyl Banner w/ grommets every 1 ft (including short side) printed single sided in four color.,4.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,13 ft x 3 ft Vinyl Banner w/ grommets every 1 ft (including short side) printed single sided in four color.,1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,18 in X 24 in Corplast printed double sided in four color.,3.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,18 in x 24 in Coroplast with stakes printed double sided in four color.,2.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,22 in X 28 in Coroplast printed single sided in four color.,1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,22 in X 28 in Coroplast printed double sided in four color.,6.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,24 in x 18 in Coroplast with stakes printed double sided in four color.,4.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,24 in x 18 in Coroplast printed double sided in four color.,45.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
17,1 ft X 2 ft Coroplast printed single sided in four color.,17.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,2 ft x 3 ft Coroplast printed single sided in four color.,10.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,6 ft x 4 ft Coroplast printed double sided in four color.,2.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
20,2 in x 3 in Cardstock printed double sided in four color.,115.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
21,5.5 in x 2 in Cardstock printed double sided in four color. Bundled in piles of 100.,3000.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
22,8.5 in x 11 in Cardstock (GREEN) printed single sided in four color.,20.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
23,8.5 in x 11 in Cardstock (RED) printed single sided in four color.,20.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
24,"14 in x 8.5 in Quad?Fold Brochure, 65lb Stock, Full?Color Digital Print, Double?Sided",1500.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
25,"24 in x 54 in Light Pole Banners, Vinyl, Full-color digital print, double-sided",52.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
26,"6 ft x 12 ft custom windscreen, 10oz mesh banner with 70/30 perforation, hemmed with grommets every 12 in",10.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
27,"36 in x 25 in die cut window perf, 70/30 non-veh briteline 54",4.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
28,"47 in x 24 in die cut window perf, 70/30 non-veh briteline 54",4.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
