line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,May not be applicable to some software RFP's.  Delete if not needed.,0.0,May not be applicable to some software RFP's.  Delete if not needed.,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,recommend you keep this as this is more specific than what is included in the IT Information document that will be a document that suppliers will also fill out.,0.0,recommend you keep this as this is more specific than what is included in the IT Information document that will be a document that suppliers will also fill out.,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,"This line is similar to a Standard Bid Attribute for software that requires that a Supplier provide a Propsed Project Plan and Timeline, however, this line is different enough that the information a S",0.0,"This line is similar to a Standard Bid Attribute for software that requires that a Supplier provide a Propsed Project Plan and Timeline, however, this line is different enough that the information a Supplier may provide for this line may not be included in the required document that would be uploaded to eBid as part of the Supplier's bid response.",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
