line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,SPECIAL NOTICES,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,"In the event the client consents to, allows, authorizes or approves of
changes to any plans, specifications or other construction documents,
and these changes are not approved in writing by the design",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,"STIUCRIC
TI
ROTARENEG
SLOOHCS
DR 40856
LLIM
OM
CILBUP
MARGNI
,DLEIFGNIRPS
LOOHCS
DLEIFGNIRPS
S
7272
HGIH
ELADNELG
Engineer of Record",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,"Jacob Adam Nelson PE
PE-2009018758
OF MIS
E S
T O
A U
T R
S JACOB
I
ADAM NELSON
P NUMBER R
R PE-2009018758 E
O E
F N
E GI
S S IONAL E N
08-11-2026",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,Revision No. Descrip,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,PROJECT #: SPS-2603,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,DATE: 08-11-2026,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,DRAWN: VP,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,"Drawing
No.
E301
ELECTRICAL DETAILS AND
SCHEDULES
© Copyright 2026 -True Engineering Group LLC",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
