month,rev_amazon_net,rev_nonamazon,cogs_vendor_cash,ad_spend,gross_cash_margin,overhead,sba_debt_service,owner_draws,owner_other_flows,owner_injection_in,net_to_business
2026-01,184440.29,115694.88,257254.83,4006.74,38873.6,12885.66,1625.0,12300.0,0,0,12062.94
2026-02,176725.13,21041.78,186722.29,5066.93,5977.69,14587.6,1625.0,2500.0,0,0,-12734.91
2026-03,202573.0,61201.4,234910.98,3134.82,25728.6,13680.5,0,2500.0,0,0,9548.1
2026-04,159724.83,61301.76,226142.99,2620.89,-7737.29,13134.48,1625.0,2500.0,66409.0,66000.0,-4183.39
2026-05,208067.51,6653.58,113539.65,3019.92,98161.52,13112.4,0,2500.0,0,0,82549.12
2026-06,51505.1,2882.17,101702.08,1102.58,-48417.39,5522.82,1625.0,0,0,0,-55565.21
TOTAL,983035.86,268775.57,1120272.82,18951.88,112586.73,72923.46,6500.0,22300.0,66409.0,66000.0,31676.65
