line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,"POLE, WOOD, 30 FT CLASS 1 THRU 7 * CITY STOCK # 875 001 05552 * WOOD POLE, 30FT CLASS 5, SOUTHERN YELLOW PINE, PER CITY OF AMES SPEC POLES-DIST * CLASS 5 ONLY-NO SUBSTITUTES. * A 24-HOUR NOTICE IS REQ",14.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,"POLE, WOOD, 50 FT CLASS 1 * CITY STOCK # 875 001 05561 * WOOD POLE, 50FT CLASS 1, SOUTHERN YELLOW PINE, PER CITY OF AMES SPEC POLES-DIST * A 24-HOUR NOTICE IS REQUIRED FOR ALL POLE DELIVERIES. TO SCHE",3.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,"POLE, WOOD, 50 FT CLASS 3 * CITY STOCK # 875 001 05562 * WOOD POLE, 50FT CLASS 3, SOUTHERN YELLOW PINE, PER CITY OF AMES SPEC POLES-DIST * A 24-HOUR NOTICE IS REQUIRED FOR ALL POLE DELIVERIES. TO SCHE",3.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
