line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,"Sodium Chloride/Calcium Chloride with an accelerator: melts to -15° F, 49 bags/pallet, or equal.",392.0,50 lb bag,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,"Sodium Chloride/Calcium Chloride with an accelerator: melts to -15° F, or equal.",50.0,"1,100 lb Tote",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,"Sno-Plow Ice Melt - Magnesium Chloride 7786-30-3, Sodium Chloride 7647-14-5, Colorant Blend Proprietary, Melts to -27°F, Green Granule; 49 bags to a pallet.",196.0,50 lb bag,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
