line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,Firm fixed price for the purchase and installation of Donut Light Fixture Replacement per the Scope of Work,0.0,EA,,non-product,,,,,,,,,,,,,,,
2,Firm fixed price for the purchase and installation of Mud-In Light Fixture Replacement per the Scope of Work,0.0,EA,,non-product,,,,,,,,,,,,,,,
3,Firm fixed price for the T8 Lighting & Lens Replacement per the Scope of Work,0.0,EA,,non-product,,,,,,,,,,,,,,,
