line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,"All bids are subject to the terms and conditions of this solicitation.  Material exceptions or failure to meet the City's minimum specifications, shall deem the bid non-responsive to the solicitation.",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,Option to Extend To Extend Term of Contract,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,NOTE: NOT AN AWARD FACTOR – Initial Appropriate Box,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,"The City at its sole discretion, may exercise any option to extend the term of the agreement, by giving the Contractor written notice within the time period noted on the selected options.  The term of",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,Bidder offers the City the option of extending the term of the contract for:,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
