line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,Classroom Phone -Current phone is NEC ITK 6D - See requirements in the Scope of Work,1929.0,EA,,non-product,,,,,,,,,,,,,,,
2,Office Phone - Current Phone Model is NEC 8LCX - See requirements in the Scope of Work,899.0,EA,,non-product,,,,,,,,,,,,,,,
3,Reception Phone - Current Phone Model is NEC ITK 24 - See requirements in the Scope of Work,112.0,EA,,non-product,,,,,,,,,,,,,,,
4,Software for new phone system,1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,Licensing for new phone system,1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,Training - please include any fees related to training District staff for the new phone system.,1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,"Labor and Installation of new phone system. To include: 1929 of classroom phones, 899 office phones, and 112 of reception phones",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
